2020-11-19 20:03:26 startup archives unpack
2020-11-19 20:03:26 install readline-common:all <none> 7.0-5
2020-11-19 20:03:26 status half-installed readline-common:all 7.0-5
2020-11-19 20:03:26 status unpacked readline-common:all 7.0-5
2020-11-19 20:03:26 install libsasl2-modules-db:amd64 <none> 2.1.27+dfsg-1+deb10u1
2020-11-19 20:03:26 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-11-19 20:03:26 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-11-19 20:03:26 install libsasl2-2:amd64 <none> 2.1.27+dfsg-1+deb10u1
2020-11-19 20:03:26 status triggers-pending libc-bin:amd64 2.28-10
2020-11-19 20:03:26 status half-installed libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-11-19 20:03:26 status unpacked libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-11-19 20:03:26 install libldap-common:all <none> 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:26 status half-installed libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:26 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:26 install libldap-2.4-2:amd64 <none> 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:26 status half-installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:26 status unpacked libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:26 install apt-transport-https:all <none> 1.8.2.1
2020-11-19 20:03:26 status half-installed apt-transport-https:all 1.8.2.1
2020-11-19 20:03:26 status unpacked apt-transport-https:all 1.8.2.1
2020-11-19 20:03:26 install libssl1.1:amd64 <none> 1.1.1d-0+deb10u3
2020-11-19 20:03:26 status half-installed libssl1.1:amd64 1.1.1d-0+deb10u3
2020-11-19 20:03:26 status unpacked libssl1.1:amd64 1.1.1d-0+deb10u3
2020-11-19 20:03:26 install openssl:amd64 <none> 1.1.1d-0+deb10u3
2020-11-19 20:03:26 status half-installed openssl:amd64 1.1.1d-0+deb10u3
2020-11-19 20:03:26 status unpacked openssl:amd64 1.1.1d-0+deb10u3
